id,name,lat,long,updatedDate,numBikes,numEmptyDocks,installed,locked,installedDate
90,"Harrington Square 1, Camden Town",51.53301907,-0.139174593,2020-10-05 13:19:00,23,3,true,false,2010-07-13 15:07:00
91,"Walnut Tree Walk, Vauxhall",51.49368637,-0.111014912,2020-10-05 13:19:00,12,7,true,false,2010-07-13 16:59:00
92,"Borough Road, Elephant & Castle",51.49889832,-0.100440521,2020-10-05 13:19:00,22,19,true,false,2010-07-13 17:04:00
93,"Cloudesley Road, Angel",51.53440868,-0.109025404,2020-10-05 13:19:00,15,21,true,false,2010-07-13 17:16:00
94,"Bricklayers Arms, Borough",51.49506109,-0.085814489,2020-10-05 13:19:00,21,7,true,false,2010-07-13 17:27:00
95,"Aldersgate Street, Barbican",51.5208417,-0.097340162,2020-10-05 13:19:00,6,9,true,false,2010-07-14 09:36:00
96,"Falkirk Street, Hoxton",51.53095071,-0.078505384,2020-10-05 13:19:00,6,19,true,false,2010-07-14 09:43:00
97,"Gloucester Road (North), Kensington",51.49792478,-0.183834706,2020-10-05 13:19:00,7,11,true,false,2010-07-14 09:53:00
98,"Hampstead Road, Euston",51.52554222,-0.138231303,2020-10-05 13:19:00,22,32,true,false,2010-07-14 10:18:00
99,"Old Quebec Street, Marylebone",51.51457763,-0.158264483,2020-10-05 13:19:00,8,7,true,false,2010-07-14 10:28:00
100,"Albert Embankment, Vauxhall",51.49043573,-0.122806861,2020-10-05 13:19:00,8,16,true,false,2010-07-14 10:31:00
101,"Queen Street 1, Bank",51.51155322,-0.0929401,2020-10-05 13:19:00,16,4,true,false,2010-07-14 11:18:00
102,"Jewry Street, Aldgate",51.51340693,-0.076793375,2020-10-05 13:19:00,16,1,true,false,2010-07-14 11:21:00
103,"Vicarage Gate, Kensington",51.50472376,-0.192538767,2020-10-05 13:19:00,2,16,true,false,2010-07-14 11:32:00
104,"Crosswall, Tower",51.51159481,-0.077121322,2020-10-05 13:19:00,15,18,true,false,2010-07-14 11:36:00
105,"Westbourne Grove, Bayswater",51.51552971,-0.190240716,2020-10-05 13:19:00,2,22,true,false,2010-07-14 12:02:00
106,"Woodstock Street, Mayfair",51.51410514,-0.147301667,2020-10-05 13:19:00,18,3,true,false,2010-07-14 12:28:00
107,"Finsbury Leisure Centre, St. Luke's",51.52600832,-0.096317627,2020-10-05 13:19:00,10,9,true,false,2010-07-14 12:38:00
108,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,2020-10-05 13:19:00,12,15,true,false,2010-07-14 12:42:00
109,"Soho Square , Soho",51.51563144,-0.132328837,2020-10-05 13:19:00,18,39,true,false,2010-07-14 12:52:00
110,"Wellington Road, St. John's Wood",51.53304322,-0.172528678,2020-10-05 13:19:00,0,16,true,false,2010-07-14 13:02:00
111,"Park Lane , Hyde Park",51.5100172,-0.157275636,2020-10-05 13:19:00,11,16,true,false,2010-07-14 13:06:00
112,"Stonecutter Street, Holborn",51.51580998,-0.105270275,2020-10-05 13:19:00,12,8,true,false,2010-07-14 14:51:00
113,"Gloucester Road (Central), South Kensington",51.49646288,-0.183289032,2020-10-05 13:19:00,3,16,true,false,2010-07-14 15:10:00
114,"Park Road (Baker Street), The Regent's Park",51.52451738,-0.158963647,2020-10-05 13:19:00,13,9,true,false,2010-07-14 16:05:00
115,"Braham Street, Aldgate",51.51423368,-0.073537654,2020-10-05 13:19:00,15,19,true,false,2010-07-14 16:18:00
116,"Little Argyll Street, West End",51.51449962,-0.141423695,2020-10-05 13:19:00,17,3,true,false,2010-07-14 16:46:00
117,"Lollard Street, Vauxhall",51.49288067,-0.114934001,2020-10-05 13:19:00,11,14,true,false,2010-07-14 17:17:00
118,"Rochester Row, Westminster",51.49582705,-0.13547809,2020-10-05 13:19:00,1,12,true,false,2010-07-14 17:22:00
119,"Bath Street, St. Luke's",51.52589324,-0.090847761,2020-10-05 13:19:00,10,7,true,false,2010-07-14 17:26:00
120,"The Guildhall, Guildhall",51.51573534,-0.093080779,2020-10-05 13:19:00,8,8,true,false,2010-07-15 10:44:00
121,"Baker Street, Marylebone",51.51891348,-0.156166631,2020-10-05 13:19:00,17,4,true,false,2010-07-15 11:20:00
122,"Norton Folgate, Liverpool Street",51.52111369,-0.078869751,2020-10-05 13:19:00,13,10,true,false,2010-07-15 11:34:00
123,"St. John Street, Finsbury",51.52836014,-0.104724625,2020-10-05 13:19:00,6,12,true,false,2010-07-15 11:55:00
124,"Eaton Square, Belgravia",51.49654462,-0.150905245,2020-10-05 13:19:00,10,9,true,false,2010-07-15 11:59:00
125,"Borough High Street, The Borough",51.50069491,-0.094524319,2020-10-05 13:19:00,3,17,true,false,2010-07-15 12:10:00
126,"Museum of London, Barbican",51.51782144,-0.096496865,2020-10-05 13:19:00,13,39,true,false,2010-07-15 12:29:00
127,"Wood Street, Guildhall",51.51700801,-0.09388536,2020-10-05 13:19:00,11,6,true,false,2010-07-15 12:32:00
128,"Emperor's Gate, South Kensington",51.49536226,-0.185296516,2020-10-05 13:19:00,16,6,true,false,2010-07-15 12:41:00
129,"Golden Square, Soho",51.5118973,-0.137043852,2020-10-05 13:19:00,17,0,true,false,2010-07-15 13:55:00
130,"Tower Gardens , Tower",51.50950627,-0.075459482,2020-10-05 13:19:00,13,11,true,false,2010-07-15 14:00:00
