id	name	lat	lon	x	y
140	Finsbury Square , Moorgate	51.52096262	-0.085634242	532915.3902460145	181963.99279734516
141	Chapel Place, Marylebone	51.51530805	-0.147203711	528659.9595538458	181225.23396773048
142	West Cromwell Road, Earl's Court	51.49372451	-0.198286569	525174.728972107	178736.55374826564
143	Pont Street, Knightsbridge	51.4968865	-0.16120382800000002	527740.0494447201	179152.1861121368
144	Kennington Cross, Kennington	51.48894022	-0.11143579599999999	531217.3099911968	178356.48796058563
145	Ilchester Place, Kensington	51.50074359	-0.202759212	524845.0889646389	179509.4736374829
146	Vauxhall Bridge , Pimlico	51.48836528	-0.129361842	529974.4597529641	178260.60057160442
147	Portugal Street, Holborn	51.51494305	-0.11614642	530815.8599200903	181239.65882900078
148	Tachbrook Street, Victoria	51.49211134	-0.13836484699999999	529338.8397001207	178661.2422695484
149	Kennington Road Post Office, Oval	51.48478899	-0.110683213	531281.4700082011	177896.20757011772
150	Holy Trinity Brompton, Knightsbridge	51.49705603	-0.168917077	527204.1893663307	179157.61775284502
151	Chepstow Villas, Notting Hill	51.51213691	-0.201554966	524897.5389419305	180778.51421453088
152	Hampton Street, Walworth	51.49217002	-0.101536865	531895.2101112352	178733.42564483543
154	Waterloo Station 3, Waterloo	51.50379168	-0.11282408	531078.3523636925	180005.5296796608
155	Lexham Gardens, Kensington	51.49586666	-0.191933711	525609.8390776152	178985.64247786626
156	New Kent Road, The Borough	51.49443626	-0.092921165	532486.7302049468	179000.98367238123
157	Wright's Lane, Kensington	51.50039792	-0.193068385	525518.6390332887	179487.59273944446
158	Trebovir Road, Earl's Court	51.49085368	-0.196170309	525329.498993571	178420.92334646406
159	Great Marlborough Street, Soho	51.51461995	-0.137841333	529311.4996767037	181165.20263960338
160	Waterloo Place, St. James's	51.50663341	-0.131773845	529755.1597622535	180287.80101536322
161	Guildhouse Street, Victoria	51.49234577	-0.14133448699999998	529132.0296104653	178682.0733818867
162	Southampton Place, Holborn	51.51760685	-0.12132840800000001	530448.709817885	181526.63978163636
163	Sloane Avenue, Knightsbridge	51.4931848	-0.167894973	527285.9093552559	178728.89754104687
164	Cleveland Gardens, Bayswater	51.515607	-0.183118788	526167.2191936078	181196.00038466213
165	Orsett Terrace, Bayswater	51.517932	-0.18371695899999999	526119.2991769224	181453.52031289184
166	Seville Street, Knightsbridge	51.50185512	-0.159237081	527862.6694162022	179708.14626015755
167	Eccleston Place, Victoria	51.49395092	-0.147624377	528690.8795879801	178849.50422540985
168	Argyll Road, Kensington	51.50040123	-0.195455928	525352.9190642199	179483.8728622748
169	Porchester Place, Paddington	51.51474612	-0.16516428800000002	527415.3593690873	181131.34775585614
170	Hardwick Street, Clerkenwell	51.52784273	-0.108068155	531339.2700175465	182688.60641544726
171	Collingham Gardens, Earl's Court	51.4916156	-0.186753859	525981.0991645849	178521.80101751167
172	Sumner Place, South Kensington	51.49121192	-0.17371591100000003	526887.3092799148	178499.40901142661
173	Waterloo Road, South Bank	51.50486	-0.113001	531063.0111244344	180124.01366420067
174	Strand, Strand	51.512529	-0.11516300000000002	530891.0072849349	180972.96534759784
175	Appold Street, Liverpool Street	51.52174384	-0.0811189	533226.3603420098	182059.0716782947
176	Gloucester Terrace, Bayswater	51.51791921	-0.188098863	525815.3190959238	181444.56161886823
177	Ashley Place, Victoria	51.49616092	-0.140947636	529148.1096529114	179107.01287079064
178	Warwick Square, Pimlico	51.48985626	-0.141923621	529098.159656164	178404.193347629
180	North Audley Street, Mayfair	51.5129118	-0.153645496	528219.72950623	180947.46539155964
181	Belgrave Square, Belgravia	51.49941247	-0.152317537	528349.769553611	179448.61485680894
182	Bell Street , Marylebone	51.52202903	-0.165842551	527347.9993540797	181940.05783173282
183	Riverlight North, Nine Elms	51.482362	-0.13612398	529521.9995938	177581.04284324104
184	Portland Place, Marylebone	51.52071513	-0.14521173	528782.9295885366	181830.0231484341
185	Alderney Street, Pimlico	51.48805753	-0.140741432	529185.3096321055	178206.25235178357
186	South Wharf Road, Paddington	51.51733558	-0.175810943	526669.4692796028	181400.8394125551
187	Queen's Gate (South), South Kensington	51.49247977	-0.17843300399999998	526556.3392410136	178632.240201472
188	Nutford Place, Marylebone	51.516517900000004	-0.164393768	527463.879355266	181329.71760184842
189	Claremont Square, Angel	51.53166681	-0.109914711	531200.1999980761	183110.54731583575
190	Rampayne Street, Pimlico	51.48997562	-0.132845681	529728.0297242049	178433.5010939103
191	Hyde Park Corner, Hyde Park	51.50311799	-0.153520935	528255.8495281949	179858.5746256007
192	Wardour Street, Soho	51.51251523	-0.133201961	529639.3697503571	180939.35137691454
193	Bankside Mix, Bankside	51.50581776	-0.10018633699999999	531949.5700578699	180253.52585742326
194	Hop Exchange, The Borough	51.50462759	-0.091773776	532536.8301875246	180136.36338207757
195	Milroy Walk, South Bank	51.50724437	-0.106237501	531525.5300080976	180401.2861979816
196	Union Street, The Borough	51.50368837	-0.098497684	532072.9101322694	180019.77466817328
197	Stamford Street, South Bank	51.50556905	-0.11160669599999999	531157.7399782216	180205.35792556038
199	Great Tower Street, Monument	51.51048489	-0.082989638	533129.3803183559	180803.6418861937
200	LMU Commercial Road, Whitechapel	51.51492456	-0.066078037	534289.8304704677	181328.2195626491
201	Dorset Square, Marylebone	51.522596500000006	-0.161113413	527674.4894309093	182011.3967959997
202	Leman Street, Aldgate	51.51236389	-0.06954201	534057.0004213254	181037.12029750447
203	West Smithfield Rotunda, Farringdon	51.51821864	-0.100791005	531871.820123267	181631.45321304185
204	Margery Street, Clerkenwell	51.52659961	-0.112432615	531040.0999263752	182542.54805991263
206	New Road 1 , Whitechapel	51.518153999999996	-0.062697	534514.9102294507	181693.54671990234
207	Grosvenor Crescent, Belgravia	51.50135267	-0.153194766	528283.4394783404	179662.835641505
208	Mallory Street, Marylebone	51.52505151	-0.166304359	527307.539363358	182275.3674978637
209	Denyer Street, Knightsbridge	51.49358391	-0.16510139199999999	527478.719398136	178778.1371034683
210	Hinde Street, Marylebone	51.51681444	-0.151926305	528328.0595373315	181384.465092458
211	Cadogan Place, Knightsbridge	51.49464523	-0.158105512	527961.3794965253	178908.35554828504
212	Campden Hill Road, Notting Hill	51.50658458	-0.19900402600000003	525089.7389856756	180165.42318073273
213	Wellington Arch, Hyde Park	51.50274025	-0.14956920099999998	528531.1695364284	179823.49474590216
214	Endsleigh Gardens, Euston	51.52683806	-0.130504336	529785.8597917131	182536.8807519615
215	Moorfields, Moorgate	51.51906932	-0.088285377	532736.9702381531	181748.64363583003
216	Old Brompton Road, South Kensington	51.49094565	-0.181190899	526369.1292315633	178456.87988108755
217	Wormwood Street, Liverpool Street	51.51615461	-0.08242239900000001	533152.2202782062	181435.16217921604
218	St. Luke's Church, Chelsea	51.48971651	-0.17019440800000002	527135.9293398245	178339.21836203907
219	Bramham Gardens, Earl's Court	51.49016361	-0.19039362	525732.4191334426	178354.0818033076
220	Chelsea Green, Chelsea	51.49066456	-0.166485083	527390.7993704793	178451.087905803
221	Horseferry Road, Westminster	51.49481649	-0.13045856	529879.999787286	178976.05072944428
222	Knightsbridge, Hyde Park	51.50275704	-0.155349725	528129.9394811194	179815.23534083326
223	Rodney Road , Walworth	51.49148474	-0.090220911	532682.7301929338	178677.6535928616
224	Whiteley's, Bayswater	51.51476963	-0.18812973100000002	525821.8491045992	181094.2613813964
225	Notting Hill Gate Station, Notting Hill	51.50935342	-0.196422	525261.336504402	180477.74262561393
226	Charles II Street, West End	51.50844614	-0.131961389	529736.9997763212	180489.05070136464
227	Great Percy Street, Clerkenwell	51.52891573	-0.115480888	530822.0198926814	182794.6585405821
228	St. James's Square, St. James's	51.50742485	-0.134621209	529555.3196870461	180370.77193439825
229	Whitehall Place, Strand	51.50654321	-0.12317969699999999	530351.819847613	180293.0292219878
230	Poured Lines, Bankside	51.50669284	-0.10313742599999999	531742.2500921491	180345.5255019387
231	Queen's Gate (Central), South Kensington	51.49396755	-0.17873226	526531.4492092376	178797.17025489564
232	Carey Street, Holborn	51.51501025	-0.11275321699999999	531051.0999853734	181253.19779443066
233	Pall Mall East, West End	51.50777049	-0.130699733	529826.4697373611	180416.15147611132
234	Liverpool Road (N1 Centre), Angel	51.53450449	-0.10699270599999999	531394.6999962317	183431.3470756897
235	Kennington Road  , Vauxhall	51.49571828	-0.11088927400000001	531235.7999909524	179111.20696509996
236	Fashion Street, Whitechapel	51.51838043	-0.073438925	533768.9903896665	181699.05063044743
237	Dock Street, Wapping	51.50978602	-0.068161981	534160.3239395058	180752.9812641711
238	Frampton Street, Paddington	51.5233534	-0.175116099	526700.9892790593	182071.24885937147
239	Warren Street Station, Euston	51.52443845	-0.138019439	529271.3596555564	182256.74243275178
240	Colombo Street, Southwark	51.50545935	-0.10569204	531568.5200800326	180203.7660520555
242	Beaumont Street, Marylebone	51.52200801	-0.151359288	528352.8095544253	181963.00427994545
243	Gloucester Street, Pimlico	51.49096258	-0.139625122	529254.5996415032	178531.2722671314
244	Earnshaw Street , Covent Garden	51.51611887	-0.128585022	529949.4797700399	181348.27086694058
245	Grosvenor Road, Pimlico	51.4853572	-0.142207481	529091.1496386692	177903.38296878146
246	Berry Street, Clerkenwell	51.52285301	-0.09999405199999999	531913.7300665441	182148.2455078361
247	St. John's Wood Church, The Regent's Park	51.530052000000005	-0.16831400000000002	527154.2125864434	182827.952049222
248	Triangle Car Park, Hyde Park	51.50645179	-0.170279555	527083.4993062103	180200.09831458703
249	Harper Road, The Borough	51.49859784	-0.096191134	532247.7101424069	179457.85445635862
250	Royal Avenue 1, Chelsea	51.489932	-0.162727	527653.7337045661	178376.16544204144
251	Brushfield Street, Liverpool Street	51.518908	-0.079249	533364.3586656686	181747.1214022377
252	Jubilee Gardens, South Bank	51.5046364	-0.11654227800000001	530817.889923705	180092.81837612853
253	Shoreditch Park, Hoxton	51.53404294	-0.086379717	532825.6302692094	183417.21300813276
254	Chadwell Street, Angel	51.53051587	-0.106408455	531446.6999809052	182988.84702123504
255	Clifton Road, Maida Vale	51.52557531	-0.179592915	526384.279205985	182310.59950111253
256	Houghton Street, Strand	51.51362054	-0.11676421099999999	530776.7799360855	181091.4879860195
257	Westminster University, Marylebone	51.52248185	-0.154907218	528105.3494942163	182009.48505709693
258	Kensington Gore, Knightsbridge	51.50143293	-0.17865697100000003	526516.0192023456	179627.48015716358
260	Broadwick Street, Soho	51.513684600000005	-0.13558087900000002	529470.9896849437	181065.1816434216
261	Princes Square, Bayswater	51.5134891	-0.191351186	525601.8490998464	180946.33180531458
262	LSBU (Borough Road), Elephant & Castle	51.49874469	-0.103132904	531765.4700818366	179461.675624666
263	St. Mary Axe, Aldgate	51.51422502	-0.080660083	533280.1203040349	181223.79175131998
